mouse,group,day,session,lick_acc,rewards
mcr01,ten_day,1,A,22.64150943,12
mcr01,ten_day,2,A,35.74660633,64
mcr01,ten_day,3,A,68.45637584,88
mcr01,ten_day,4,A,71.03825137,106
mcr01,ten_day,5,A,91.37931034,100
mcr01,ten_day,6,AR,87.41258741,118
mcr02,five_day,1,A,34.67741935,22
mcr02,five_day,2,A,37.82051282,31
mcr02,five_day,3,A,72.81553398,70
mcr02,five_day,4,A,82.10526316,59
mcr02,five_day,5,A,92.55319149,72
mcr02,five_day,6,AR,97.58064516,115
mcr03,five_day,1,A,25,9
mcr03,five_day,2,A,36.80555556,19
mcr03,five_day,3,A,44.32989691,18
mcr03,five_day,4,A,39.47368421,15
mcr03,five_day,5,A,63.63636364,41
mcr03,five_day,6,AR,90.24390244,57
mcr04,fifteen_day,1,A,30.52631579,9
mcr04,fifteen_day,2,A,28.22580645,13
mcr04,fifteen_day,3,A,32.14285714,45
mcr04,fifteen_day,4,A,61.02941176,67
mcr04,fifteen_day,5,A,67.67676768,60
mcr04,fifteen_day,6,AR,69.56521739,84
mcr05,ten_day,1,A,19.8019802,12
mcr05,ten_day,2,A,31.1827957,39
mcr05,ten_day,3,A,80,99
mcr05,ten_day,4,A,86.15384615,103
mcr05,ten_day,5,A,64.42307692,62
mcr05,ten_day,6,AR,96.52777778,133
mcr06,ten_day,1,A,27.11864407,7
mcr06,ten_day,2,A,34.10852713,19
mcr06,ten_day,3,A,34.93150685,33
mcr06,ten_day,4,A,55.33333333,62
mcr06,ten_day,5,A,89.74358974,94
mcr06,ten_day,6,AR,83.18584071,86
mcr07,five_day,1,A,25.17985612,27
mcr07,five_day,2,A,58.82352941,55
mcr07,five_day,3,A,72.5,47
mcr07,five_day,4,A,91.66666667,105
mcr07,five_day,5,A,88.69565217,86
,,,,,
mcr08,fifteen_day,1,A,23.23943662,6
mcr08,fifteen_day,2,A,35.6097561,49
mcr08,fifteen_day,3,A,76.59574468,129
mcr08,fifteen_day,4,A,81.09452736,150
mcr08,fifteen_day,5,A,89.47368421,127
mcr08,fifteen_day,6,AR,89.57055215,135
mcr09,fifteen_day,1,A,27.39726027,8
mcr09,fifteen_day,2,A,39.04761905,19
mcr09,fifteen_day,3,A,32.03125,17
mcr09,fifteen_day,4,A,45,14
mcr09,fifteen_day,5,A,43.75,14
mcr10,ten_day,1,A,29.03225806,27
mcr10,ten_day,2,A,68.50393701,75
mcr10,ten_day,3,A,62,42
mcr10,ten_day,4,A,69.89247312,47
mcr10,ten_day,5,A,82.08955224,45
mcr10,ten_day,6,AR,92.53731343,57
mcr11,five_day,1,A,35.53719008,4
mcr11,five_day,2,A,33.33333333,13
mcr11,five_day,3,A,47.48858447,89
mcr11,five_day,4,A,79.61165049,146
mcr11,five_day,5,A,77.2972973,135
mcr11,five_day,6,AR,84.14634146,129
mcr12,fifteen_day,1,A,27.27272727,19
mcr12,fifteen_day,2,A,44.13407821,51
mcr12,fifteen_day,3,A,82.9787234,99
mcr12,fifteen_day,4,A,88.11188811,107
mcr12,fifteen_day,5,A,96.15384615,118
mcr12,fifteen_day,6,AR,94.7761194,119
mcr13,five_day,1,A,26.1682243,7
mcr13,five_day,2,A,34.27561837,73
mcr13,five_day,3,A,71.25748503,109
mcr13,five_day,4,A,76.28205128,110
mcr13,five_day,5,A,78.66666667,107
mcr13,five_day,6,AR,79.52755906,94
mcr14,ten_day,1,A,27.33333333,18
mcr14,ten_day,2,A,45.39473684,49
mcr14,ten_day,3,A,75.93984962,86
mcr14,ten_day,4,A,84.28571429,110
mcr14,ten_day,5,A,87.96296296,91
mcr14,ten_day,6,AR,82.56880734,86
mcr15,fifteen_day,1,A,33.11258278,32
mcr15,fifteen_day,2,A,69.87951807,82
mcr15,fifteen_day,3,A,77.77777778,112
mcr15,fifteen_day,4,A,94.6969697,116
mcr15,fifteen_day,5,A,94.28571429,96
mcr15,fifteen_day,6,AR,90.47619048,104
mcr16,fifteen_day,1,A,31.25,9
mcr16,fifteen_day,2,A,31.81818182,20
mcr16,fifteen_day,3,A,30.66666667,9
mcr16,fifteen_day,4,A,44.59459459,14
mcr16,fifteen_day,5,A,48,10
