mouse,experiment,session,day,group,num_licks,probe_acc,session_acc
mcr01,rc1,A,1,ten_day,106,14.285714285714285,22.641509433962266
mcr01,rc1,A,5,ten_day,204,60.0,91.37931034482759
mcr01,rc1,AR,6,ten_day,176,40.0,87.41258741258741
mcr02,rc1,A,1,five_day,108,22.22222222222222,34.67741935483871
mcr02,rc1,A,5,five_day,85,62.5,92.5531914893617
mcr02,rc1,AR,6,five_day,101,75.0,97.58064516129032
mcr03,rc1,A,1,five_day,52,0.0,25.0
mcr03,rc1,A,5,five_day,139,55.55555555555556,63.63636363636363
mcr03,rc1,AR,6,five_day,121,27.27272727272727,90.2439024390244
mcr04,rc1,A,1,fifteen_day,98,27.27272727272727,30.526315789473685
mcr04,rc1,A,5,fifteen_day,61,42.857142857142854,67.67676767676768
mcr04,rc1,AR,6,fifteen_day,98,50.0,69.56521739130434
mcr05,rc1,A,1,ten_day,25,0.0,19.801980198019802
mcr05,rc1,A,5,ten_day,129,60.0,64.42307692307693
mcr05,rc1,AR,6,ten_day,125,81.81818181818183,96.52777777777779
mcr06,rc1,A,1,ten_day,48,33.33333333333333,27.11864406779661
mcr06,rc1,A,5,ten_day,156,63.63636363636363,89.74358974358975
mcr06,rc1,AR,6,ten_day,122,60.0,83.1858407079646
mcr07,rc1,A,1,five_day,67,20.0,25.179856115107913
mcr07,rc1,A,5,five_day,86,50.0,88.69565217391305
mcr07,rc1,AR,6,five_day,0,,
mcr08,rc1,A,1,fifteen_day,89,16.666666666666664,23.239436619718308
mcr08,rc1,A,5,fifteen_day,148,75.0,89.47368421052632
mcr08,rc1,AR,6,fifteen_day,167,56.25,89.57055214723927
mcr09,rc1,A,1,fifteen_day,47,75.0,27.397260273972602
mcr09,rc1,A,5,fifteen_day,44,33.33333333333333,43.75
mcr10,rc1,A,1,ten_day,84,28.57142857142857,29.03225806451613
mcr10,rc1,A,5,ten_day,129,42.857142857142854,82.08955223880598
mcr10,rc1,AR,6,ten_day,127,80.0,92.53731343283582
mcr11,rc1,A,1,five_day,50,16.666666666666664,35.53719008264463
mcr11,rc1,A,5,five_day,205,65.0,77.29729729729729
mcr11,rc1,AR,6,five_day,207,65.0,84.14634146341463
mcr12,rc1,A,1,fifteen_day,72,14.285714285714285,27.27272727272727
mcr12,rc1,A,5,fifteen_day,86,60.0,96.15384615384616
mcr12,rc1,AR,6,fifteen_day,114,62.5,94.77611940298507
mcr13,rc1,A,1,five_day,63,28.57142857142857,26.168224299065418
mcr13,rc1,A,5,five_day,177,66.66666666666666,78.66666666666666
mcr13,rc1,AR,6,five_day,137,69.23076923076923,79.52755905511812
mcr14,mcr1,A,1,ten_day,102,27.27272727272727,27.333333333333332
mcr14,mcr1,AR,6,ten_day,85,66.66666666666666,82.56880733944955
mcr15,rc1,A,1,fifteen_day,67,0.0,33.11258278145696
mcr15,rc1,A,5,fifteen_day,157,60.0,94.28571428571428
mcr15,rc1,AR,6,fifteen_day,106,72.72727272727273,90.47619047619048
mcr16,rc1,A,1,fifteen_day,66,33.33333333333333,31.25
mcr16,rc1,A,5,fifteen_day,49,25.0,48.0
