mouse,day,group,sex,session,lick_accuracy,rewards
mcr36,1,Young Adult,F,A,0.0,0
mcr36,2,Young Adult,F,A,62.5,3
mcr36,3,Young Adult,F,A,57.14285714285714,3
mcr36,4,Young Adult,F,A,63.63636363636363,7
mcr36,5,Young Adult,F,A,20.833333333333336,9
mcr36,6,Young Adult,F,A,21.50537634408602,7
mcr36,7,Young Adult,F,AR,28.68217054263566,15
mcr37,1,Young Adult,F,A,29.126213592233007,14
mcr37,2,Young Adult,F,A,40.5940594059406,68
mcr37,3,Young Adult,F,A,51.28205128205128,63
mcr37,4,Young Adult,F,A,68.70229007633588,73
mcr37,5,Young Adult,F,A,80.95238095238095,103
mcr37,6,Young Adult,F,A,75.60975609756098,41
mcr37,7,Young Adult,F,AR,79.1044776119403,43
mcr38,1,Young Adult,F,A,30.344827586206897,29
mcr38,2,Young Adult,F,A,40.243902439024396,54
mcr38,3,Young Adult,F,A,42.36111111111111,51
mcr38,4,Young Adult,F,A,69.16666666666667,72
mcr38,5,Young Adult,F,A,85.54216867469879,140
mcr38,6,Young Adult,F,A,79.62962962962963,79
mcr38,7,Young Adult,F,AR,92.17391304347827,94
mcr39,1,Young Adult,F,A,50.0,7
mcr39,2,Young Adult,F,A,50.0,35
mcr39,3,Young Adult,F,A,73.91304347826086,73
mcr39,4,Young Adult,F,A,92.3913043478261,78
mcr39,5,Young Adult,F,A,93.54838709677419,110
mcr39,6,Young Adult,F,A,98.27586206896551,105
mcr39,7,Young Adult,F,AR,96.11650485436894,92
mcr40,1,Young Adult,F,A,23.232323232323232,6
mcr40,2,Young Adult,F,A,38.7434554973822,54
mcr40,3,Young Adult,F,A,59.34959349593496,64
mcr40,4,Young Adult,F,A,86.48648648648648,85
mcr40,5,Young Adult,F,A,84.0,115
mcr40,6,Young Adult,F,A,90.38461538461539,90
mcr40,7,Young Adult,F,AR,89.42307692307693,84
mcr42,1,Young Adult,M,A,35.61643835616438,39
mcr42,2,Young Adult,M,A,67.85714285714286,82
mcr42,3,Young Adult,M,A,75.86206896551724,82
mcr42,4,Young Adult,M,A,87.73584905660378,86
mcr42,5,Young Adult,M,A,91.61290322580645,138
mcr42,6,Young Adult,M,A,97.9381443298969,91
mcr42,7,Young Adult,M,AR,96.8,115
mcr43,1,Young Adult,M,A,52.17391304347826,1
mcr43,2,Young Adult,M,A,32.38095238095238,8
mcr43,3,Young Adult,M,A,30.17241379310345,18
mcr43,4,Young Adult,M,A,47.96747967479675,56
mcr43,5,Young Adult,M,A,88.9763779527559,105
mcr43,6,Young Adult,M,A,96.46017699115043,102
mcr43,7,Young Adult,M,AR,89.32038834951457,85
mcr44,1,Young Adult,M,A,29.230769230769234,27
mcr44,2,Young Adult,M,A,49.404761904761905,73
mcr44,3,Young Adult,M,A,66.66666666666666,63
mcr44,4,Young Adult,M,A,75.89285714285714,74
mcr44,5,Young Adult,M,A,86.23188405797102,109
mcr44,6,Young Adult,M,A,82.14285714285714,81
mcr44,7,Young Adult,M,AR,86.61417322834646,98
mcr45,1,Young Adult,M,A,23.809523809523807,1
mcr45,2,Young Adult,M,A,42.60355029585799,50
mcr45,3,Young Adult,M,A,66.35514018691589,68
mcr45,4,Young Adult,M,A,90.0,73
mcr45,5,Young Adult,M,A,95.7983193277311,102
mcr45,6,Young Adult,M,A,92.04545454545455,74
mcr45,7,Young Adult,M,AR,73.4375,38
mcr46,1,Young Adult,M,A,29.411764705882355,3
mcr46,2,Young Adult,M,A,33.165829145728644,48
mcr46,3,Young Adult,M,A,51.57232704402516,74
mcr46,4,Young Adult,M,A,65.87301587301587,72
mcr46,5,Young Adult,M,A,79.75460122699386,121
mcr46,6,Young Adult,M,A,86.0655737704918,102
mcr46,7,Young Adult,M,AR,82.35294117647058,107
mcr47,1,Young Adult,M,A,11.363636363636363,0
mcr47,2,Young Adult,M,A,39.189189189189186,34
mcr47,3,Young Adult,M,A,45.73170731707317,65
mcr47,4,Young Adult,M,A,73.52941176470588,88
mcr47,5,Young Adult,M,A,80.57142857142857,137
mcr47,6,Young Adult,M,A,79.87421383647799,122
mcr47,7,Young Adult,M,AR,85.91549295774648,110
mcr48,1,Middle Aged,F,A,14.634146341463413,1
mcr48,2,Middle Aged,F,A,31.952662721893493,36
mcr48,3,Middle Aged,F,A,38.405797101449274,36
mcr48,4,Middle Aged,F,A,33.497536945812804,54
mcr48,5,Middle Aged,F,A,55.60747663551402,108
mcr48,6,Middle Aged,F,A,61.29032258064516,88
mcr48,7,Middle Aged,F,AR,56.17977528089888,92
mcr49,1,Middle Aged,F,A,25.233644859813083,16
mcr49,2,Middle Aged,F,A,30.136986301369863,22
mcr49,3,Middle Aged,F,A,46.06741573033708,69
mcr49,4,Middle Aged,F,A,81.65137614678899,85
mcr49,5,Middle Aged,F,A,92.51700680272108,134
mcr49,6,Middle Aged,F,A,82.39999999999999,100
mcr49,7,Middle Aged,F,AR,88.88888888888889,108
mcr50,1,Middle Aged,F,A,27.586206896551722,1
mcr50,2,Middle Aged,F,A,32.89473684210527,12
mcr50,3,Middle Aged,F,A,34.18803418803419,26
mcr50,4,Middle Aged,F,A,67.14285714285714,76
mcr50,5,Middle Aged,F,A,85.96491228070175,88
mcr50,6,Middle Aged,F,A,90.47619047619048,86
mcr50,7,Middle Aged,F,AR,86.53846153846155,80
mcr51,1,Middle Aged,F,A,23.333333333333332,3
mcr51,2,Middle Aged,F,A,28.57142857142857,2
mcr51,3,Middle Aged,F,A,35.714285714285715,3
mcr51,4,Middle Aged,F,A,60.0,4
mcr51,5,Middle Aged,F,A,34.78260869565217,7
mcr51,6,Middle Aged,F,A,29.72972972972973,3
mcr51,7,Middle Aged,F,AR,22.22222222222222,3
mcr52,1,Middle Aged,F,A,29.11392405063291,13
mcr52,2,Middle Aged,F,A,33.108108108108105,26
mcr52,3,Middle Aged,F,A,37.03703703703704,45
mcr52,4,Middle Aged,F,A,55.24475524475524,60
mcr52,5,Middle Aged,F,A,77.6923076923077,92
mcr52,6,Middle Aged,F,A,92.0,57
mcr52,7,Middle Aged,F,AR,92.5925925925926,97
mcr53,1,Middle Aged,F,A,22.0,2
mcr53,2,Middle Aged,F,A,28.888888888888886,8
mcr53,3,Middle Aged,F,A,29.82456140350877,14
mcr53,4,Middle Aged,F,A,36.17021276595745,51
mcr53,5,Middle Aged,F,A,44.537815126050425,96
mcr53,6,Middle Aged,F,A,55.44554455445545,49
mcr53,7,Middle Aged,F,AR,52.071005917159766,69
mcr54,1,Middle Aged,M,A,30.909090909090907,8
mcr54,2,Middle Aged,M,A,25.503355704697988,20
mcr54,3,Middle Aged,M,A,33.098591549295776,38
mcr54,4,Middle Aged,M,A,38.84892086330935,41
mcr54,5,Middle Aged,M,A,46.82539682539682,48
mcr54,6,Middle Aged,M,A,56.91056910569105,56
mcr54,7,Middle Aged,M,AR,58.74125874125874,68
mcr55,1,Middle Aged,M,A,31.372549019607842,14
mcr55,2,Middle Aged,M,A,36.57142857142857,42
mcr55,3,Middle Aged,M,A,45.20547945205479,53
mcr55,4,Middle Aged,M,A,69.72477064220183,67
mcr55,5,Middle Aged,M,A,80.41958041958041,104
mcr55,6,Middle Aged,M,A,78.29457364341084,89
mcr55,7,Middle Aged,M,AR,83.33333333333334,96
mcr56,1,Middle Aged,M,A,15.254237288135593,2
