mouse,experiment,sex,group,session,day,num_licks,probe_acc,session_acc
mcr36,rc3,F,Young Adult,A,1,21,,0.0
mcr36,rc3,F,Young Adult,A,6,117,23.076923076923077,21.50537634408602
mcr36,rc3,F,Young Adult,AR,7,129,41.66666666666667,28.68217054263566
mcr37,rc3,F,Young Adult,A,1,25,100.0,29.126213592233007
mcr37,rc3,F,Young Adult,A,6,76,83.33333333333334,75.60975609756098
mcr37,rc3,F,Young Adult,AR,7,20,50.0,79.1044776119403
mcr38,rc3,F,Young Adult,A,1,31,50.0,30.344827586206897
mcr38,rc3,F,Young Adult,A,6,180,84.61538461538461,79.62962962962963
mcr38,rc3,F,Young Adult,AR,7,186,62.5,92.17391304347827
mcr39,rc3,F,Young Adult,A,1,5,100.0,50.0
mcr39,rc3,F,Young Adult,A,6,105,100.0,98.27586206896551
mcr39,rc3,F,Young Adult,AR,7,124,84.61538461538461,96.11650485436894
mcr40,rc3,F,Young Adult,A,1,31,33.33333333333333,23.232323232323232
mcr40,rc3,F,Young Adult,A,6,69,25.0,90.38461538461539
mcr40,rc3,F,Young Adult,AR,7,106,75.0,89.42307692307693
mcr42,rc3,M,Young Adult,A,1,21,0.0,35.61643835616438
mcr42,rc3,M,Young Adult,A,6,108,60.0,97.9381443298969
mcr42,rc3,M,Young Adult,AR,7,132,60.0,96.8
mcr43,rc3,M,Young Adult,A,1,20,50.0,52.17391304347826
mcr43,rc3,M,Young Adult,A,6,134,55.55555555555556,96.46017699115043
mcr43,rc3,M,Young Adult,AR,7,160,35.714285714285715,89.32038834951457
mcr44,rc3,M,Young Adult,A,1,47,50.0,29.230769230769234
mcr44,rc3,M,Young Adult,A,6,79,85.71428571428571,82.14285714285714
mcr44,rc3,M,Young Adult,AR,7,111,50.0,86.61417322834646
mcr45,rc3,M,Young Adult,A,1,57,20.0,23.809523809523807
mcr45,rc3,M,Young Adult,A,6,71,100.0,92.04545454545455
mcr45,rc3,M,Young Adult,AR,7,76,87.5,73.4375
mcr46,rc3,M,Young Adult,A,1,39,0.0,29.411764705882355
mcr46,rc3,M,Young Adult,A,6,143,53.84615384615385,86.0655737704918
mcr46,rc3,M,Young Adult,AR,7,150,50.0,82.35294117647058
mcr47,rc3,M,Young Adult,A,1,98,20.0,11.363636363636363
mcr47,rc3,M,Young Adult,A,6,154,64.70588235294117,79.87421383647799
mcr47,rc3,M,Young Adult,AR,7,216,63.1578947368421,85.91549295774648
mcr48,rc3,F,Middle Aged,A,1,57,50.0,14.634146341463413
mcr48,rc3,F,Middle Aged,A,6,81,57.14285714285714,61.29032258064516
mcr48,rc3,F,Middle Aged,AR,7,73,16.666666666666664,56.17977528089888
mcr49,rc3,F,Middle Aged,A,1,3,,25.233644859813083
mcr49,rc3,F,Middle Aged,A,6,31,66.66666666666666,82.39999999999999
mcr49,rc3,F,Middle Aged,AR,7,124,57.14285714285714,88.88888888888889
mcr50,rc3,F,Middle Aged,A,1,4,,27.586206896551722
mcr50,rc3,F,Middle Aged,A,6,20,50.0,90.47619047619048
mcr50,rc3,F,Middle Aged,AR,7,53,60.0,86.53846153846155
mcr51,rc3,F,Middle Aged,A,1,19,0.0,23.333333333333332
mcr51,rc3,F,Middle Aged,A,6,56,33.33333333333333,29.72972972972973
mcr51,rc3,F,Middle Aged,AR,7,49,0.0,22.22222222222222
mcr52,rc3,F,Middle Aged,A,1,10,,29.11392405063291
mcr52,rc3,F,Middle Aged,A,6,23,50.0,92.0
mcr52,rc3,F,Middle Aged,AR,7,57,66.66666666666666,92.5925925925926
mcr53,rc3,F,Middle Aged,A,1,51,0.0,22.0
mcr53,rc3,F,Middle Aged,A,6,145,63.63636363636363,55.44554455445545
mcr53,rc3,F,Middle Aged,AR,7,118,20.0,52.071005917159766
mcr54,rc3,M,Middle Aged,A,1,11,,30.909090909090907
mcr54,rc3,M,Middle Aged,A,6,51,50.0,56.91056910569105
mcr54,rc3,M,Middle Aged,AR,7,88,57.14285714285714,58.74125874125874
mcr55,rc3,M,Middle Aged,A,1,62,0.0,31.372549019607842
mcr55,rc3,M,Middle Aged,A,6,77,37.5,78.29457364341084
mcr55,rc3,M,Middle Aged,AR,7,138,61.53846153846154,83.33333333333334
mcr56,rc3,M,Middle Aged,A,1,36,33.33333333333333,15.254237288135593
mcr56,rc3,M,Middle Aged,A,6,108,100.0,80.95238095238095
mcr56,rc3,M,Middle Aged,AR,7,144,46.15384615384615,75.0
mcr57,rc3,M,Middle Aged,A,1,57,25.0,20.73170731707317
mcr57,rc3,M,Middle Aged,A,6,127,63.63636363636363,90.2439024390244
mcr57,rc3,M,Middle Aged,AR,7,102,90.0,83.19327731092437
mcr58,rc3,M,Middle Aged,A,1,27,0.0,27.906976744186046
mcr58,rc3,M,Middle Aged,A,6,87,85.71428571428571,78.63247863247864
mcr58,rc3,M,Middle Aged,AR,7,98,80.0,85.71428571428571
mcr59,rc3,M,Middle Aged,A,1,22,50.0,34.48275862068966
mcr59,rc3,M,Middle Aged,A,6,131,90.9090909090909,92.66055045871559
mcr59,rc3,M,Middle Aged,AR,7,124,70.0,85.92592592592592
